patch_id,row_index,column_index,row_offset,column_offset,patch_size_pixels,left,bottom,right,top,center_x,center_y,crs,valid_fraction,invalid_fraction,accepted,rejection_reason,before_path,after_path,mask_path,before_sha256,after_sha256,mask_sha256,split
GW_R002_C000,2,0,512,0,256,213050.0,1925900.0,215610.0,1928460.0,214330.0,1927180.0,EPSG:32644,0.99716187,0.00283813,True,,data\processed\patches\before\GW_R002_C000.tif,data\processed\patches\after\GW_R002_C000.tif,data\processed\patches\masks\GW_R002_C000.tif,ef5767e28f6214391cf9f8d97d91f2afec850b9ed1482da82d5b409a7f494c34,a5b1f852c1066de7238deaee05a01656a322ec4cb2f98c6c2769594f5df85029,4460442e3bae7dc12418559684ad2069ce8dc1a3f7bfb94dbbfd738e2c9b33c8,train
GW_R002_C001,2,1,512,256,256,215610.0,1925900.0,218170.0,1928460.0,216890.0,1927180.0,EPSG:32644,0.98428345,0.01571655,True,,data\processed\patches\before\GW_R002_C001.tif,data\processed\patches\after\GW_R002_C001.tif,data\processed\patches\masks\GW_R002_C001.tif,a660b4cc82b0a3f53901cb12059413e20b9c7bffb697a22b9cb476bea2d4d831,9c83e85fe329b02515aac1911cd8b4d9cc7df7cf10c515ec45849d4746629c0a,d0a0b116e89dc89405dbd9578b7a61007850bb1e4d69b7f9a7d13e58bf27c0d7,train
GW_R002_C002,2,2,512,512,256,218170.0,1925900.0,220730.0,1928460.0,219450.0,1927180.0,EPSG:32644,0.98980713,0.01019287,True,,data\processed\patches\before\GW_R002_C002.tif,data\processed\patches\after\GW_R002_C002.tif,data\processed\patches\masks\GW_R002_C002.tif,917fb63d6781b4d9bb684c428f9bdebd662d31fc8e71f525516d45252b5338b2,8c69fafce99e6fb8d3df8f02adff7451dcdf096cb042942ba149a4f868b0ce96,e0f99f860d0baac8ffc6b1f470879a2a895dd8dfe8ecd74f9950cdb2c3856ca7,train
GW_R002_C003,2,3,512,768,256,220730.0,1925900.0,223290.0,1928460.0,222010.0,1927180.0,EPSG:32644,0.99798584,0.00201416,True,,data\processed\patches\before\GW_R002_C003.tif,data\processed\patches\after\GW_R002_C003.tif,data\processed\patches\masks\GW_R002_C003.tif,423db905ab3c8ea0195788b069347457f647234c5d7ea0cbd31c826294f48691,c2c46659c474335694c2b43f0cdacd15e8772061284d144e68b02034f6174dff,98eabf46f9f1a34a20ec2b52faccc48dd42fafe30a7f4709f762f95eca7f950c,validation
GW_R002_C004,2,4,512,1024,256,223290.0,1925900.0,225850.0,1928460.0,224570.0,1927180.0,EPSG:32644,0.99993896,6.104e-05,True,,data\processed\patches\before\GW_R002_C004.tif,data\processed\patches\after\GW_R002_C004.tif,data\processed\patches\masks\GW_R002_C004.tif,467c502fc9cae094744f8636618083be7913775ca7caa92543f9b62d908b4d54,a9ff827617765f001251ee36f6dab1b4272af4a850fa3f7a0146d55341dde5b5,ff3ca77b9fd11a24513a7f25ebe41e6cac18c5f72e9da22da8e9dbcf1e864b11,test
GW_R003_C000,3,0,768,0,256,213050.0,1923340.0,215610.0,1925900.0,214330.0,1924620.0,EPSG:32644,0.98208618,0.01791382,True,,data\processed\patches\before\GW_R003_C000.tif,data\processed\patches\after\GW_R003_C000.tif,data\processed\patches\masks\GW_R003_C000.tif,1d557b2b4fd31e5de8a013eaf8325475a31bf4c94cbef081aa17511b65747971,edeffe9dafd86f7ae4c2be1aaa01668806181067ba9dcbae8c8427d62eabe395,a1d3de6cbb940eeb9aa5d32f41b688973ee40a19a9efbf536b917030c1b4d8c2,train
GW_R003_C001,3,1,768,256,256,215610.0,1923340.0,218170.0,1925900.0,216890.0,1924620.0,EPSG:32644,0.98278809,0.01721191,True,,data\processed\patches\before\GW_R003_C001.tif,data\processed\patches\after\GW_R003_C001.tif,data\processed\patches\masks\GW_R003_C001.tif,579b9b50ca24e82dfa8edb45d57221df8606d53eed5c47e8ea24d7b665901775,e20e5a927ebce779c310f5004b0d813e5cb709f545f6ee9fd1109cbab427b18c,965e2d8e2d5e0bdca088ab2091db2dc33e7c0004bdc2033f2df133382385d6ae,train
GW_R003_C002,3,2,768,512,256,218170.0,1923340.0,220730.0,1925900.0,219450.0,1924620.0,EPSG:32644,0.993927,0.006073,True,,data\processed\patches\before\GW_R003_C002.tif,data\processed\patches\after\GW_R003_C002.tif,data\processed\patches\masks\GW_R003_C002.tif,71a93b0b25214956b8f952aefe95c3117bbe97d5da62d43055c835481613da4b,53e46d85c8ce9f595d7c02de7a0c13da99ddeb7608cc782f84e14f90c2ed2d85,42d87dba3e8cbf4916a1eba32640611ad2cc0d970ef05c3aa1ee4e8939c53fc4,train
GW_R003_C003,3,3,768,768,256,220730.0,1923340.0,223290.0,1925900.0,222010.0,1924620.0,EPSG:32644,0.99746704,0.00253296,True,,data\processed\patches\before\GW_R003_C003.tif,data\processed\patches\after\GW_R003_C003.tif,data\processed\patches\masks\GW_R003_C003.tif,7724ce51ac53bb4c91615bf9b7d8b043de1a06bf0ad1c204dca53a7d8ae7ca43,2324b7d426a0c7243074b0e17196ac7c4f5d5b12d84d96aee1dc6edf54d80d22,0060afae3bb8e89c44f1c710aac4b1fb6bafcce8e3771a76331c69e434d9d5c2,validation
GW_R003_C004,3,4,768,1024,256,223290.0,1923340.0,225850.0,1925900.0,224570.0,1924620.0,EPSG:32644,0.99969482,0.00030518,True,,data\processed\patches\before\GW_R003_C004.tif,data\processed\patches\after\GW_R003_C004.tif,data\processed\patches\masks\GW_R003_C004.tif,c2692ca24c5eb9634e8d49c3e8ca440384444c48fb36d1b7d82bd28c5aedb40b,e763f708ba1a3de2ba8034033b933351589cd2d029e73ab30cb8295e15f1ab94,a3f7f684bbc36a9a8ad2374eaa1944e2bdbcd3eae241c01e88e0f4dd6fb8757e,test
GW_R004_C000,4,0,1024,0,256,213050.0,1920780.0,215610.0,1923340.0,214330.0,1922060.0,EPSG:32644,0.96929932,0.03070068,True,,data\processed\patches\before\GW_R004_C000.tif,data\processed\patches\after\GW_R004_C000.tif,data\processed\patches\masks\GW_R004_C000.tif,01f736615ab198c46a3f921935d5c3ec276f7d0b211e2201f177ede351499bf4,3ffa7fd34aa29e5c5e42d5b2e0cd82cfe7a3d4e7f6743bcb53a6a1d1b72ad880,7ee64c774c3a25a04b8be94c8b021d6640d4c7ef19fb04536e70ad1fa4a485d6,train
GW_R004_C001,4,1,1024,256,256,215610.0,1920780.0,218170.0,1923340.0,216890.0,1922060.0,EPSG:32644,0.99499512,0.00500488,True,,data\processed\patches\before\GW_R004_C001.tif,data\processed\patches\after\GW_R004_C001.tif,data\processed\patches\masks\GW_R004_C001.tif,d2962cb2bb667e8c7a042a72fab2e7fa5195f5306169d35f3e9886622e7a50a4,e3759c9a68cb3228055279dec6370e08c06c90f239fd5ed5027ac47cfbf307b2,28639cdf0dfdb39d4d53f8163b653ae6f16ae942ad85018d784af478140a7af1,train
GW_R004_C002,4,2,1024,512,256,218170.0,1920780.0,220730.0,1923340.0,219450.0,1922060.0,EPSG:32644,0.99462891,0.00537109,True,,data\processed\patches\before\GW_R004_C002.tif,data\processed\patches\after\GW_R004_C002.tif,data\processed\patches\masks\GW_R004_C002.tif,94383875232db22ca2a11566c0122e72283f6d208dc38d3b5a2ed48066ef7612,e8ace8052bd36729fbe23c4040ff1ccc2bd0816112ec45463adc85952e7c4a4d,f6c5a1eb8f225baaa7bdc81932208b08ac9a6428a0db96e44e98e6a6c9efbcd8,train
GW_R004_C003,4,3,1024,768,256,220730.0,1920780.0,223290.0,1923340.0,222010.0,1922060.0,EPSG:32644,0.99841309,0.00158691,True,,data\processed\patches\before\GW_R004_C003.tif,data\processed\patches\after\GW_R004_C003.tif,data\processed\patches\masks\GW_R004_C003.tif,80595dd355ce9747bd3fca6ade614386df67b8b8e9d0ae39df960be6a26ddfe2,b7e8a45c628462b47dbd7e285cce69fda4861d89286fa501b1944ff31c688a3e,848b16fd9bf3a8a623e6547bb5e231850677812a599784e1166e20130bbf6d71,validation
GW_R004_C004,4,4,1024,1024,256,223290.0,1920780.0,225850.0,1923340.0,224570.0,1922060.0,EPSG:32644,0.99658203,0.00341797,True,,data\processed\patches\before\GW_R004_C004.tif,data\processed\patches\after\GW_R004_C004.tif,data\processed\patches\masks\GW_R004_C004.tif,98b178db61fa02f84d9959678e542339e7c0dbbd01b35a73590d5c67c75a3395,4769d0d756cfb43791b658a2fabb15f707f2736e5955f9587497e29e2898cceb,7fdd52bab5c2ad0e4ee7aa61da9cf99aee6dcbd79bad0a3da11c8f92754b0458,test
